net_oil_kbpd,bhp_psig,thp_psig,gor_scfperstb
1.676654025,2200.69,903.06,430.4599152
2.78594271,2194.36,912.05,424.4142326
2.763931661,2194.18,912.92,405.7715439
4.840263875,2179.26,895.52,408.6125805
6.679635617,2165.48,869.13,405.0372748
6.889282134,2160.34,864.2,402.5826573
8.698377541,2143.29,825.92,402.3181957
10.35936468,2130.5,787.64,401.6626395
10.15136504,2123.74,787.5,403.1859566
11.94940158,2115.27,744.14,398.256409
13.68322058,2082.36,678.46,402.8821059
14.55272403,2056.11,639.02,410.0199016
14.48773035,2049.7,638.44,411.640751
14.20499621,2028.19,637.42,419.0806366
13.91494781,1969.64,611.32,431.2945991
13.88507762,1962.3,599.14,414.8758631
13.74387467,1941.56,606.68,453.6855589
13.45301659,1910.83,607.12,471.5932209
13.13648108,1883.01,631.33,532.2154873
13.10921123,1879.8,629.59,537.8185511
13.36297815,1901.32,562.89,393.6440485
12.88411335,1858.74,637.28,602.4173423
12.86494954,1856.44,637.57,607.8994126
12.78467781,1850.21,639.31,620.8793168
12.70221264,1844.47,641.05,634.1272487
12.62810193,1839.03,643.22,647.0789674
12.63081437,1839.59,645.4,646.9695038
10.96860862,1839.22,718.19,695.3514173
7.558425772,1865.59,762.12,562.8513201
7.953108053,1897.88,693.1,431.1672399
7.851325306,1886.84,755.02,528.0447533
7.92293264,1905.2,660.77,379.7156049
11.47271039,1858.43,694.99,603.7512809
7.716400853,1876.71,781.99,583.2067681
7.668341501,1874.22,796.92,617.9366475
7.600903898,1859.5,825.78,702.0343833
5.285114849,1879.24,794.46,549.7803078
5.425893265,1891.24,775.46,514.4530939
5.388984054,1888.33,800.11,551.088604
5.701372004,1912.02,664.39,365.1699634
5.555684657,1896.95,739.94,449.3231632
5.415228245,1882.89,835.35,615.0645611
5.267584157,1874.34,865.94,688.2085801
5.291154898,1870.53,877.11,719.3134618
4.023946046,1880.99,819.975,575.6973274
4.032133978,1882.37,837.67,604.390101
4.042687104,1881.83,841.73,617.7344923
4.010152183,1878.07,863.33,667.3166402
3.990529901,1877.05,870,670.4066413
3.967959425,1875.34,875.37,689.1198227
2.623507568,1887.61,767.78,496.3356114
2.613008211,1888.8,772.13,521.1355475
3.341807129,1884.82,828.1,595.5177836
3.388364978,1878.79,778.51,499.331745
3.403170643,1876.4,790.11,534.812872
7.477750261,1845.36,944.53,1074.069823
3.212648605,1861.6,948.45,860.6407845
2.708697263,1870.19,819.69,592.770891
2.63016488,1860.23,940.76,882.9651093
